App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Invoice 2go — Professional Invoices and Estimates,BUSINESS,4.2,16422,28M,"1,000,000+",Free,0,Everyone,Business,"August 1, 2018",10.46.2,4.1 and up
SignEasy | Sign and Fill PDF and other Documents,BUSINESS,4.3,NaN,Varies with device,"1,000,000+",Free,0,Everyone,Business,"July 25, 2018",Varies with device,Varies with device
Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80804,Varies with device,"5,000,000+",Free,0,Everyone,Business,"February 26, 2018",Varies with device,4.0.3 and up
Genius Scan - PDF Scanner,BUSINESS,4.4,42492,NaN,"1,000,000+",Free,0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device
Tiny Scanner - PDF Scanner App,BUSINESS,4.7,286897,39M,"10,000,000+",Free,0,Everyone,Business,"May 30, 2017",NaN,3.0 and up
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,"10,000,000+",Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up
Mobile Doc Scanner (MDScan) Lite,BUSINESS,4.2,46505,19M,"1,000,000+",Free,0,Everyone,Business,"August 2, 2018",3.4.49,4.1 and up
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,"100,000+",Paid,$4.99,Everyone,Business,"March 25, 2018",1.5.2,4.0 and up
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,"100,000+",Paid,$4.99,Everyone,Business,"April 11, 2017",3.4.6,3.0 and up
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,Varies with device,"50,000,000+",Free,0,Everyone,Business,"April 2, 2018",Varies with device,Varies with device
OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002859,35M,"100,000,000+",Free,0,Everyone,Business,"August 2, 2018",9.7.14188,4.1 and up
Slack,BUSINESS,4.4,51510,Varies with device,"5,000,000+",Free,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device
Verify - Receipts & Expenses,BUSINESS,4.5,413,29M,"10,000+",Free,0,Everyone,Business,"July 25, 2018",2.0.19,5.0 and up
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4.3,23175,41M,"1,000,000+",Free,0,Everyone,Business,"July 13, 2018",18.7,4.1 and up
LINE WEBTOON - Free Comics,COMICS,4.5,1013635,Varies with device,"10,000,000+",Free,0,Teen,Comics,NaN,Varies with device,Varies with device
Manga Master - Best manga & comic reader,COMICS,NaN,24005,4.9M,"500,000+",Free,0,Adults only 18+,Comics,"July 4, 2018",1.1.7.0,4.1 and up
GANMA! - All original stories free of charge for all original comics,COMICS,4.7,57106,27M,"1,000,000+",Free,0,Teen,Comics,"July 23, 2018",NaN,4.1 and up
Unicorn Pokez - Color By Number,COMICS,4.8,516,12M,"50,000+",Free,0,Everyone,Comics;Creativity,"August 3, 2018",1.0.6,4.4 and up
MangaToon - Comics updated Daily,COMICS,3.9,834,15M,"50,000+",Free,0,Mature 17+,Comics,"August 1, 2018",1.0.8,4.1 and up
Manga Net – Best Online Manga Reader,COMICS,4.1,1010,11M,"50,000+",Free,0,Mature 17+,Comics,"July 7, 2018",1.5,4.1 and up
Manga Rock - Best Manga Reader,COMICS,4.4,238970,28M,"1,000,000+",Free,0,Teen,Comics,"July 9, 2018",3.4.3_world,5.0 and up
Manga - read Thai translation,COMICS,4.6,302,2.2M,"10,000+",Free,0,Teen,Comics,"July 3, 2018",1,4.0 and up
The Vietnam Story - Fun Stories,COMICS,4.5,438,3.4M,"10,000+",Free,0,Everyone,Comics,"December 27, 2017",1,2.3 and up
Dragon Ball Wallpaper - Ringtones,COMICS,4.7,NaN,8.3M,"10,000+",Free,0,Everyone,Comics,"July 23, 2018",1.9,4.0.3 and up
Funny Jokes Photos,COMICS,4.4,39,4.3M,"10,000+",Free,0,Everyone 10+,Comics,"July 3, 2018",NaN,4.2 and up
Truyện Vui Tý Quậy,COMICS,4.5,NaN,4.7M,"10,000+",Free,0,Everyone,Comics,"July 19, 2018",3,4.0.3 and up
Comic Es - Shojo manga / love comics free of charge ♪ ♪,COMICS,3.9,2181,10M,"100,000+",Free,0,Teen,Comics,"March 5, 2018",1.2.12,4.0.3 and up
comico Popular Original Cartoon Updated Everyday Comico,COMICS,3.2,93965,15M,"5,000,000+",Free,0,Teen,Comics,"July 3, 2018",6.3.0,4.0.3 and up
Daily Manga - Comic & Webtoon,COMICS,NaN,1446,7.1M,"100,000+",Free,0,Mature 17+,Comics,"May 18, 2018",1,4.0.3 and up
Emmanuella Funny Videos 2018,COMICS,4.5,314,6.1M,"100,000+",Free,0,Everyone,Comics,"May 23, 2018",3.1.0,4.1 and up
DC Comics,COMICS,4.2,25671,Varies with device,"1,000,000+",Free,0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device
Manga Zero - Japanese cartoon and comic reader,COMICS,4.2,15194,15M,"1,000,000+",Free,0,Teen,Comics,"July 19, 2018",4.7.3,4.2 and up
Marvel Unlimited,COMICS,3.7,22551,11M,"1,000,000+",Free,0,Teen,Comics,"July 24, 2018",3.16.0,4.4 and up
Children's cartoons (Mithu-Mina-Raju),COMICS,4.6,279,3.3M,"100,000+",Free,0,Everyone,Comics,"December 18, 2017",1.6,4.0 and up
Narrator's Voice,COMICS,4.5,564387,Varies with device,"5,000,000+",Free,0,Everyone,Comics,"July 5, 2018",Varies with device,Varies with device
【Ranobbe complete free】 Novelba - Free app that you can read and write novels,COMICS,NaN,1330,22M,"50,000+",Free,0,Everyone,Comics,"July 3, 2018",6.1.1,4.2 and up
Faustop Sounds,COMICS,4.7,1677,40M,"100,000+",Free,0,Everyone,Comics,"May 26, 2018",1.7.7,4.1 and up
Buff Thun - Daily Free Webtoon / Comics / Web Fiction / Mini Game,COMICS,4.5,NaN,38M,"500,000+",Free,0,Everyone 10+,Comics,"July 31, 2018",4.3.0,4.1 and up
pixiv comic - everyone's manga app,COMICS,4.4,18814,Varies with device,"1,000,000+",Free,0,Mature 17+,Comics,"July 30, 2018",Varies with device,Varies with device
Funny Jokes and Stories 2018,COMICS,4.2,21,6.7M,"5,000+",Free,0,Everyone,Comics,"March 31, 2018",1.3,4.0 and up
Hojiboy Tojiboyev Life Hacks,COMICS,5,15,37M,"1,000+",Free,0,Everyone,Comics,"June 26, 2018",2,4.0.3 and up
Perfect Viewer,COMICS,4.4,51981,Varies with device,"5,000,000+",Free,0,Everyone,Comics,"August 1, 2018",4.2.0.2,2.3 and up
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8M,"10,000+",Free,0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up
think Comics,COMICS,4.4,1006,19M,"50,000+",Free,0,Everyone,Comics,"August 3, 2018",2.3.3,4.0.3 and up
Memes Button,COMICS,NaN,5968,5.7M,"1,000,000+",Free,0,Everyone,Comics,"May 28, 2018",1.4,4.0 and up
"Laftel - Watching and Announcing Snooping, Streaming",COMICS,4.6,4895,35M,"100,000+",Free,0,Everyone,Comics,"August 2, 2018",2.4.25,4.4 and up
Messenger – Text and Video Chat for Free,COMMUNICATION,4,56642847,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
Messenger for SMS,COMMUNICATION,4.3,125257,17M,"10,000,000+",Free,0,Teen,Communication,"June 6, 2018",1.8.9,4.1 and up
Google Chrome: Fast & Secure,COMMUNICATION,4.3,9642995,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,NaN,Varies with device,Varies with device
Messenger Lite: Free Calls & Messages,COMMUNICATION,4.4,1429035,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 25, 2018",37.0.0.7.163,2.3 and up
Gmail,COMMUNICATION,4.3,4604324,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device
Hangouts,COMMUNICATION,4,3419249,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device
Viber Messenger,COMMUNICATION,4.3,11334799,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 18, 2018",Varies with device,Varies with device
My Tele2,COMMUNICATION,4.3,158679,8.8M,"5,000,000+",Free,0,Everyone,Communication,"August 3, 2018",2.4.1,4.4 and up
Firefox Browser fast & private,COMMUNICATION,NaN,3075028,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4187998,16M,"100,000,000+",Free,0,Everyone,Communication,"July 18, 2018",5.29.3,4.4 and up
imo beta free calls and text,NaN,4.3,659395,11M,"100,000,000+",Free,0,Everyone,Communication,"June 7, 2018",9.8.000000010492,4.0 and up
imo free video calls and chat,COMMUNICATION,4.3,4785892,11M,"500,000,000+",Free,0,NaN,Communication,"June 8, 2018",9.8.000000010501,4.0 and up
Web Browser & Explorer,COMMUNICATION,4,36901,6.6M,"5,000,000+",Free,0,Everyone,Communication,"July 4, 2018",11.8.6,4.0.3 - 7.1.1
Opera Mini - fast web browser,COMMUNICATION,4.5,5149854,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 19, 2018",Varies with device,Varies with device
Browser 4G,COMMUNICATION,4.3,192948,6.6M,"10,000,000+",Free,0,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1
MegaFon Dashboard,COMMUNICATION,3.7,99559,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 30, 2018",Varies with device,Varies with device
ZenUI Dialer & Contacts,COMMUNICATION,4.5,437674,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
Cricket Visual Voicemail,COMMUNICATION,3.9,NaN,NaN,"10,000,000+",Free,0,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up
Opera Browser: Fast and Secure,COMMUNICATION,4.4,2473509,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 31, 2018",47.1.2249.129326,Varies with device
TracFone My Account,COMMUNICATION,3.6,20769,18M,"1,000,000+",Free,0,Everyone,Communication,"July 11, 2018",R6.0.3,4.1 and up
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,NaN,"1,000,000+",Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up
Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
Chrome Dev,COMMUNICATION,4.4,63543,Varies with device,"5,000,000+",Free,0,Everyone,Communication,"August 2, 2018",69.0.3497.24,Varies with device
Xperia Link™,COMMUNICATION,4.1,45487,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"October 27, 2016",Varies with device,Varies with device
TouchPal Keyboard - Fun Emoji & Android Keyboard,COMMUNICATION,NaN,615381,37M,"10,000,000+",Free,0,Mature 17+,Communication,"August 2, 2018",6.7.9.1,4.0.3 and up
Who,COMMUNICATION,4.3,2451083,Varies with device,"100,000,000+",Free,0,Teen,Communication,"August 3, 2018",Varies with device,Varies with device
Skype Lite - Free Video Call & Chat,COMMUNICATION,4.2,33053,22M,"5,000,000+",Free,0,Everyone,Communication,"July 31, 2018",1.60.0.31354-release,4.0.3 and up
WeChat,COMMUNICATION,4.2,5387333,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 31, 2018",Varies with device,Varies with device
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648120,3.3M,"100,000,000+",Free,0,Teen,Communication,"July 18, 2018",11.4.0,4.0 and up
WhatsApp Business,COMMUNICATION,4.4,136662,32M,"10,000,000+",Free,0,Everyone,Communication,"July 30, 2018",2.18.116,4.0.3 and up
My magenta,COMMUNICATION,3.9,42370,NaN,"1,000,000+",Free,0,Everyone,Communication,"June 25, 2018",7.5.1,5.0 and up
Android Messages,COMMUNICATION,4.2,781810,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
Telegram,COMMUNICATION,4.4,3128250,Varies with device,"100,000,000+",Free,0,Mature 17+,Communication,"July 27, 2018",Varies with device,Varies with device
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 31, 2018",37.1.206017801.DR37_RC14,4.4 and up
